Sequence,Day,Sub-zone,PDF_Calendar
City-Monday-A,Monday,A,http://peelregion.ca/waste-scripts/when-does-it-go/pdf/2019/Brampton-Mississauga-Monday-A.pdf
City-Monday-B,Monday,B,http://peelregion.ca/waste-scripts/when-does-it-go/pdf/2019/Brampton-Mississauga-Monday-B.pdf
City-Tuesday-A,Tuesday,A,http://peelregion.ca/waste-scripts/when-does-it-go/pdf/2019/Brampton-Mississauga-Tuesday-A.pdf
City-Tuesday-B,Tuesday,B,http://peelregion.ca/waste-scripts/when-does-it-go/pdf/2019/Brampton-Mississauga-Tuesday-B.pdf
City-Wednesday-A,Wednesday,A,http://peelregion.ca/waste-scripts/when-does-it-go/pdf/2019/Brampton-Mississauga-Wednesday-A.pdf
City-Wednesday-B,Wednesday,B,http://peelregion.ca/waste-scripts/when-does-it-go/pdf/2019/Brampton-Mississauga-Wednesday-B.pdf
City-Thursday-A,Thursday,A,http://peelregion.ca/waste-scripts/when-does-it-go/pdf/2019/Brampton-Mississauga-Thursday-A.pdf
City-Thursday-B,Thursday,B,http://peelregion.ca/waste-scripts/when-does-it-go/pdf/2019/Brampton-Mississauga-Thursday-B.pdf
Cal-Urb-Monday-A,Monday,A,http://peelregion.ca/waste-scripts/when-does-it-go/pdf/2019/Caledon-Urban-Monday-A.pdf
Cal-Urb-Monday-B,Monday,B,http://peelregion.ca/waste-scripts/when-does-it-go/pdf/2019/Caledon-Urban-Monday-B.pdf
Cal-Urb-Tuesday-A,Tuesday,A,http://peelregion.ca/waste-scripts/when-does-it-go/pdf/2019/Caledon-Urban-Tuesday-A.pdf
Cal-Urb-Tuesday-B,Tuesday,B,http://peelregion.ca/waste-scripts/when-does-it-go/pdf/2019/Caledon-Urban-Tuesday-B.pdf
Cal-Rural-Monday-A,Monday,A,http://peelregion.ca/waste-scripts/when-does-it-go/pdf/2019/Caledon-Rural-Monday-Cart-A.pdf
Cal-Rural-Monday-B,Monday,B,http://peelregion.ca/waste-scripts/when-does-it-go/pdf/2019/Caledon-Rural-Monday-Cart-B.pdf
Cal-Rural-Tuesday-A,Tuesday,A,http://peelregion.ca/waste-scripts/when-does-it-go/pdf/2019/Caledon-Rural-Tuesday-Cart-A.pdf
Cal-Rural-Tuesday-B,Tuesday,B,http://peelregion.ca/waste-scripts/when-does-it-go/pdf/2019/Caledon-Rural-Tuesday-Cart-B.pdf
