Sequence,CollectionDate,Garbage,Recycle,Organic,YardWaste,TreePickup,SpecialCollection,Notes
Cal-Rural-Monday-A,2019-01-07,,y,y,,y,,
Cal-Rural-Monday-A,2019-01-14,y,,y,,,,
Cal-Rural-Monday-A,2019-01-21,,y,y,,,,
Cal-Rural-Monday-A,2019-01-28,y,,y,,,,
Cal-Rural-Monday-A,2019-02-04,,y,y,,,,
Cal-Rural-Monday-A,2019-02-11,y,,y,,,,
Cal-Rural-Monday-A,2019-02-19,,y,y,,,,Pickup delayed one day
Cal-Rural-Monday-A,2019-02-25,y,,y,,,,
Cal-Rural-Monday-A,2019-03-04,,y,y,,,,
Cal-Rural-Monday-A,2019-03-11,y,,y,,,,
Cal-Rural-Monday-A,2019-03-18,,y,y,,,,
Cal-Rural-Monday-A,2019-03-25,y,,y,,,,
Cal-Rural-Monday-A,2019-04-01,,y,y,,,,
Cal-Rural-Monday-A,2019-04-05,,,,y,,,
Cal-Rural-Monday-A,2019-04-08,y,,y,,,,
Cal-Rural-Monday-A,2019-04-15,,y,y,,,Battery,
Cal-Rural-Monday-A,2019-04-22,y,,y,,,,
Cal-Rural-Monday-A,2019-04-26,,,,y,,,
Cal-Rural-Monday-A,2019-04-29,,y,y,,,,
Cal-Rural-Monday-A,2019-05-06,y,,y,,,,
Cal-Rural-Monday-A,2019-05-13,,y,y,,,,
Cal-Rural-Monday-A,2019-05-17,,,,y,,,
Cal-Rural-Monday-A,2019-05-21,y,,y,,,,Pickup delayed one day
Cal-Rural-Monday-A,2019-05-27,,y,y,,,,
Cal-Rural-Monday-A,2019-06-03,y,,y,,,,
Cal-Rural-Monday-A,2019-06-10,,y,y,,,,
Cal-Rural-Monday-A,2019-06-14,,,,y,,,
Cal-Rural-Monday-A,2019-06-17,y,,y,,,Garbage Exemption,
Cal-Rural-Monday-A,2019-06-24,,y,y,,,,
Cal-Rural-Monday-A,2019-07-02,y,,y,,,,Pickup delayed one day
Cal-Rural-Monday-A,2019-07-08,,y,y,,,,
Cal-Rural-Monday-A,2019-07-15,y,,y,,,,
Cal-Rural-Monday-A,2019-07-22,,y,y,,,,
Cal-Rural-Monday-A,2019-07-29,y,,y,,,,
Cal-Rural-Monday-A,2019-08-06,,y,y,,,,Pickup delayed one day
Cal-Rural-Monday-A,2019-08-12,y,,y,,,,
Cal-Rural-Monday-A,2019-08-19,,y,y,,,,
Cal-Rural-Monday-A,2019-08-26,y,,y,,,,
Cal-Rural-Monday-A,2019-09-03,,y,y,,,,Pickup delayed one day
Cal-Rural-Monday-A,2019-09-09,y,,y,,,,
Cal-Rural-Monday-A,2019-09-16,,y,y,,,,
Cal-Rural-Monday-A,2019-09-23,y,,y,,,Garbage Exemption,
Cal-Rural-Monday-A,2019-09-30,,y,y,,,,
Cal-Rural-Monday-A,2019-10-07,y,,y,,,,
Cal-Rural-Monday-A,2019-10-15,,y,y,,,,Pickup delayed one day
Cal-Rural-Monday-A,2019-10-21,y,,y,,,,
Cal-Rural-Monday-A,2019-10-25,,,,y,,,
Cal-Rural-Monday-A,2019-10-28,,y,y,,,Battery,
Cal-Rural-Monday-A,2019-11-04,y,,y,,,,
Cal-Rural-Monday-A,2019-11-11,,y,y,,,,
Cal-Rural-Monday-A,2019-11-15,,,,y,,,
Cal-Rural-Monday-A,2019-11-18,y,,y,,,,
Cal-Rural-Monday-A,2019-11-25,,y,y,,,,
Cal-Rural-Monday-A,2019-11-29,,,,y,,,
Cal-Rural-Monday-A,2019-12-02,y,,y,,,,
Cal-Rural-Monday-A,2019-12-09,,y,y,,,,
Cal-Rural-Monday-A,2019-12-13,,,,y,,,
Cal-Rural-Monday-A,2019-12-16,y,,y,,,,
Cal-Rural-Monday-A,2019-12-23,,y,y,,,,
Cal-Rural-Monday-A,2019-12-30,y,,y,,,,
