Sequence,CollectionDate,Garbage,Recycle,Organic,YardWaste,TreePickup,SpecialCollection,Notes
City-Monday-A,2019-01-07,,y,y,,y,,
City-Monday-A,2019-01-14,y,,y,,,,
City-Monday-A,2019-01-21,,y,y,,,,
City-Monday-A,2019-01-28,y,,y,,,,
City-Monday-A,2019-02-04,,y,y,,,,
City-Monday-A,2019-02-11,y,,y,,,,
City-Monday-A,2019-02-19,,y,y,,,,Pickup delayed one day
City-Monday-A,2019-02-25,y,,y,,,,
City-Monday-A,2019-03-04,,y,y,,,,
City-Monday-A,2019-03-11,y,,y,,,,
City-Monday-A,2019-03-18,,y,y,,,,
City-Monday-A,2019-03-25,y,,y,,,,
City-Monday-A,2019-04-01,,y,y,y,,,
City-Monday-A,2019-04-08,y,,y,y,,,
City-Monday-A,2019-04-15,,y,y,y,,Battery,
City-Monday-A,2019-04-22,y,,y,y,,,
City-Monday-A,2019-04-29,,y,y,y,,,
City-Monday-A,2019-05-06,y,,y,y,,,
City-Monday-A,2019-05-13,,y,y,y,,,
City-Monday-A,2019-05-21,y,,y,y,,,Pickup delayed one day
City-Monday-A,2019-05-27,,y,y,y,,,
City-Monday-A,2019-06-03,y,,y,y,,,
City-Monday-A,2019-06-10,,y,y,y,,,
City-Monday-A,2019-06-17,y,,y,y,,Garbage Exemption,
City-Monday-A,2019-06-24,,y,y,y,,,
City-Monday-A,2019-07-02,y,,y,,,,Pickup delayed one day
City-Monday-A,2019-07-08,,y,y,y,,,
City-Monday-A,2019-07-15,y,,y,,,,
City-Monday-A,2019-07-22,,y,y,y,,,
City-Monday-A,2019-07-29,y,,y,,,,
City-Monday-A,2019-08-06,,y,y,y,,,Pickup delayed one day
City-Monday-A,2019-08-12,y,,y,,,,
City-Monday-A,2019-08-19,,y,y,y,,,
City-Monday-A,2019-08-26,y,,y,,,,
City-Monday-A,2019-09-03,,y,y,y,,,Pickup delayed one day
City-Monday-A,2019-09-09,y,,y,,,,
City-Monday-A,2019-09-16,,y,y,y,,,
City-Monday-A,2019-09-23,y,,y,,,Garbage Exemption,
City-Monday-A,2019-09-30,,y,y,y,,,
City-Monday-A,2019-10-07,y,,y,y,,,
City-Monday-A,2019-10-15,,y,y,y,,,Pickup delayed one day
City-Monday-A,2019-10-21,y,,y,y,,,
City-Monday-A,2019-10-28,,y,y,y,,Battery,
City-Monday-A,2019-11-04,y,,y,y,,,
City-Monday-A,2019-11-11,,y,y,y,,,
City-Monday-A,2019-11-18,y,,y,y,,,
City-Monday-A,2019-11-25,,y,y,y,,,
City-Monday-A,2019-12-02,y,,y,y,,,
City-Monday-A,2019-12-09,,y,y,y,,,
City-Monday-A,2019-12-16,y,,y,,,,
City-Monday-A,2019-12-23,,y,y,,,,
City-Monday-A,2019-12-30,y,,y,,,,
