Sequence,CollectionDate,Garbage,Recycle,Organic,YardWaste,TreePickup,SpecialCollection,Notes
City-Tuesday-A,2019-01-02,y,,y,,,Garbage Exemption,Pickup delayed one day
City-Tuesday-A,2019-01-08,,y,y,,y,,
City-Tuesday-A,2019-01-15,y,,y,,,,
City-Tuesday-A,2019-01-22,,y,y,,,,
City-Tuesday-A,2019-01-29,y,,y,,,,
City-Tuesday-A,2019-02-05,,y,y,,,,
City-Tuesday-A,2019-02-12,y,,y,,,,
City-Tuesday-A,2019-02-20,,y,y,,,,Pickup delayed one day
City-Tuesday-A,2019-02-26,y,,y,,,,
City-Tuesday-A,2019-03-05,,y,y,,,,
City-Tuesday-A,2019-03-12,y,,y,y,,,
City-Tuesday-A,2019-03-19,,y,y,y,,,
City-Tuesday-A,2019-03-26,y,,y,y,,,
City-Tuesday-A,2019-04-02,,y,y,y,,,
City-Tuesday-A,2019-04-09,y,,y,y,,,
City-Tuesday-A,2019-04-16,,y,y,y,,Battery,
City-Tuesday-A,2019-04-23,y,,y,y,,,
City-Tuesday-A,2019-04-30,,y,y,y,,,
City-Tuesday-A,2019-05-07,y,,y,y,,,
City-Tuesday-A,2019-05-14,,y,y,y,,,
City-Tuesday-A,2019-05-22,y,,y,y,,,Pickup delayed one day
City-Tuesday-A,2019-05-28,,y,y,y,,,
City-Tuesday-A,2019-06-04,y,,y,y,,,
City-Tuesday-A,2019-06-11,,y,y,y,,,
City-Tuesday-A,2019-06-18,y,,y,y,,Garbage Exemption,
City-Tuesday-A,2019-06-25,,y,y,y,,,
City-Tuesday-A,2019-07-03,y,,y,,,,Pickup delayed one day
City-Tuesday-A,2019-07-09,,y,y,y,,,
City-Tuesday-A,2019-07-16,y,,y,,,,
City-Tuesday-A,2019-07-23,,y,y,y,,,
City-Tuesday-A,2019-07-30,y,,y,,,,
City-Tuesday-A,2019-08-07,,y,y,y,,,Pickup delayed one day
City-Tuesday-A,2019-08-13,y,,y,,,,
City-Tuesday-A,2019-08-20,,y,y,y,,,
City-Tuesday-A,2019-08-27,y,,y,,,,
City-Tuesday-A,2019-09-04,,y,y,y,,,Pickup delayed one day
City-Tuesday-A,2019-09-10,y,,y,,,,
City-Tuesday-A,2019-09-17,,y,y,y,,,
City-Tuesday-A,2019-09-24,y,,y,,,Garbage Exemption,
City-Tuesday-A,2019-10-01,,y,y,y,,,
City-Tuesday-A,2019-10-08,y,,y,y,,,
City-Tuesday-A,2019-10-16,,y,y,y,,,Pickup delayed one day
City-Tuesday-A,2019-10-22,y,,y,y,,,
City-Tuesday-A,2019-10-29,,y,y,y,,Battery,
City-Tuesday-A,2019-11-05,y,,y,y,,,
City-Tuesday-A,2019-11-12,,y,y,y,,,
City-Tuesday-A,2019-11-19,y,,y,y,,,
City-Tuesday-A,2019-11-26,,y,y,y,,,
City-Tuesday-A,2019-12-03,y,,y,y,,,
City-Tuesday-A,2019-12-10,,y,y,y,,,
City-Tuesday-A,2019-12-17,y,,y,,,,
City-Tuesday-A,2019-12-24,,y,y,,,,
City-Tuesday-A,2019-12-31,y,,y,,,,
